"Hugo_Symbol"	"nmut"	"nlines"
"CDC73"	1	154
"FLI1"	1	154
"PAFAH1B2"	1	154
"NONO"	1	154
"TEC"	1	154
"ZRSR2"	1	154
"CPEB3"	1	154
"CD274"	1	154
"EZR"	1	154
"ELN"	1	154
"CCNE1"	1	154
"IDH2"	1	154
"AKT3"	1	154
"EBF1"	1	154
"HOXC13"	1	154
"NF2"	1	154
"FOXO4"	1	154
"TLX1"	1	154
"CNOT3"	1	154
"RBM10"	1	154
"PTPN11"	1	154
"STIL"	1	154
"KDM6A"	1	154
"ACSL6"	1	154
"NR4A3"	1	154
"ERC1"	1	154
"STAT5B"	1	154
"KDSR"	1	154
"PAX5"	1	154
"SOX2"	1	154
"WWTR1"	1	154
"ARID2"	1	154
"PRCC"	1	154
"SMAD2"	1	154
"SGK1"	1	154
"CDKN1A"	1	154
"REL"	1	154
"IL6ST"	1	154
"PPFIBP1"	1	154
"RAF1"	1	154
"HERPUD1"	1	154
"FAM131B"	1	154
"EZH2"	1	154
"SEPT5"	1	154
"SND1"	1	154
"TFRC"	1	154
"ARHGAP26"	1	154
"MALT1"	1	154
"TAL1"	1	154
"ESR1"	1	154
"HOXA11"	1	154
"CDH1"	1	154
"HNRNPA2B1"	1	154
"CSF3R"	1	154
"PAX3"	1	154
"HOXC11"	1	154
"LMO2"	1	154
"AFF4"	1	154
"SSX1"	1	154
"CANT1"	1	154
"IRF4"	1	154
"SYK"	1	154
"PATZ1"	1	154
"CRNKL1"	1	154
"NPM1"	1	154
"PRRX1"	1	154
"ASPSCR1"	1	154
"FGFR1"	1	154
"CCND3"	1	154
"CXCR4"	1	154
"ELK4"	1	154
"MSN"	1	154
"GMPS"	1	154
"MLLT10"	1	154
"KIF5B"	1	154
"MITF"	1	154
"PDCD1LG2"	1	154
"KEAP1"	1	154
"FGFR4"	1	154
"ARAF"	1	154
"CLTC"	1	154
"SIX1"	1	154
"CRTC3"	1	154
"HOXA9"	1	154
"ID3"	1	154
"CDX2"	1	154
"PCBP1"	1	154
"TPM4"	1	154
"BCL2L12"	1	154
"CD79A"	1	154
"ELL"	1	154
"HLF"	1	154
"MAPK1"	1	154
"NRG1"	1	154
"POU2AF1"	1	154
"RECQL4"	1	154
"SEPT6"	1	154
"SMAD3"	1	154
"TNFRSF14"	1	154
